--> É impossível viver off-line(pt).txt;78,56;0,4911;0,3411;0,315
--> The Bahamas(en).txt;51,0519;0,4017;1,1319;0,4476
--> As redes sociais e atitudes despicientes(pt).txt;98,5661;0,3444;0,7131;0,3028
--> European Union(en).txt;54,4672;0,6769;2,1582;0,5268
--> 1000866.female.17.Student.Libra(en).txt;67,5611;0,9672;9,5752;0,5194
--> Escravidão: vergonha a ser extinta(pt).txt;112,1284;0,2877;0,4031;0,3084
--> 1031806.male.17.Technology.Sagittarius(en).txt;76,8163;0,9454;5,48;0,4714
--> 3403444.female.14.indUnk.Taurus(en).txt;48,4645;0,9449;5,7188;0,4732
--> 841857.female.17.indUnk.Virgo(en).txt;75,6116;0,9274;4,7902;0,4747
--> 1162265.male.17.Student.Aries(en).txt;73,5731;0,9356;4,4334;0,4858
--> 1516660.male.17.Student.Cancer(en).txt;75,0485;0,9694;8,0761;0,4834
--> O grande mal da escravidão(pt).txt;163,0601;0,1812;0,1429;0,2613
--> A conjectura da verdade(pt).txt;124,2221;0,3475;0,7143;0,332
--> 1531340.female.15.indUnk.Cancer(en).txt;76,6404;0,9365;4,918;0,5103
--> Denuncie o estupro(pt).txt;91,0978;0,3824;0,8783;0,3679
--> Viver e a arte de conviver(pt).txt;81,2561;0,2109;0,8074;0,3642
--> 1593902.male.15.Student.Taurus(en).txt;65,872;0,9303;4,1501;0,4779
--> 1807720.female.16.Student.Leo(en).txt;59,039;0,9726;9,8339;0,4966
--> Farming.(en).txt;62,8461;0,5976;1,2846;0,5116
--> 1013637.male.17.RealEstate.Virgo(en).txt;92,4455;0,9497;6,2786;0,4973
--> Mix de Negligências(pt).txt;119,072;0,2965;0,566;0,3466
--> 1171643.male.16.indUnk.Scorpio(en).txt;88,0048;0,9614;4,863;0,4341
--> 2414493.female.16.Student.Aries(en).txt;91,3612;0,9474;5,4265;0,5077
--> 2587254.male.15.Student.Libra(en).txt;97,9574;0,9729;9,297;0,4969


Vocabulário de textos com qualidade

1- Ficheiro 2- MTLD 3- Taxa de repetição  4- Maturidade 5- Densidade 

--> The_Gospel_According_to_Jesus_Christ(en).txt;94,0002;0,9659;6,6799;0,4449
--> The Buried Giant(en).txt;103,616;0,9726;6,8727;0,4639
--> Journey_to_Portugal__In_Pursuit_of_Portuga(en).txt;91,3099;0,9543;4,2929;0,4102
--> O fim do homem soviético (pt).txt;88,5692;0,9521;2,3179;0,3127
--> The_History_of_the_Siege_of_Lisbon(en).txt;101,9444;0,9563;4,8196;0,4305
--> Snow_-_Orhan_Pamuk(en).txt;91,4438;0,9717;6,4849;0,4422
--> The_Lives_of_Things(en).txt;89,4313;0,9083;2,9983;0,4389
--> The_Stone_Raft(en).txt;108,4888;0,9512;4,3503;0,4312
--> Death_at_Intervals(en).txt;89,4044;0,936;4,1181;0,4497
--> Manual_of_Painting_n_Calligraphy__A_Novel(en).txt;89,8939;0,9388;3,9242;0,4377
--> Seeing(en).txt;82,5926;0,9591;5,565;0,4531
--> Blindness(en).txt;84,3551;0,9655;6,389;0,4543
--> Baltasar_and_Blimunda__A_Novel(en).txt;92,1148;0,9648;4,9507;0,4185
--> Tale_of_the_Unknown_Island(en).txt;69,7607;0,7997;2,0541;0,437
--> All_the_Names(en).txt;84,17;0,9558;5,5497;0,459
--> The_Remains_of_the_Day(en).txt;92,8939;0,9616;5,626;0,4617
--> The_Elephants_Journey(en).txt;99,468;0,9342;4,1171;0,4464
--> A Guerra nao tem Rosto de Mulher(pt).txt;94,971;0,9486;1,8897;0,296
--> The_Cave(en).txt;86,263;0,9646;5,979;0,4466
--> Raised_From_the_Ground(en).txt;94,1692;0,9618;5,2268;0,4317
--> Vida Querida(pt).txt;85,4638;0,9351;2,0575;0,324
--> The_Year_of_the_Death_of_Ricardo_Reis(en).txt;107,1421;0,9589;5,0375;0,4408
--> Skylight(en).txt;85,4537;0,9554;4,8846;0,4594
--> Flores da Ruina(pt).txt;113,6136;0,852;0,9902;0,316
--> Small_Memories(en).txt;95,786;0,8962;2,9199;0,4371
--> The_Notebook(en).txt;89,8123;0,9357;3,6354;0,4339
--> Death_With_Interruptions(en).txt;89,3704;0,9369;4,1007;0,4483


